Time,Nome,Usuario,Tempo,Texto
Santos,Gustavo◤✠◢,@Gustavoschoen,4 min,"O cara não.consegue jogador no Santos.  Olha o ritmo do jogo, surreal!"
Internacional,Faculdade de Direito da USP,@de_usp,4 min,"Ampliando a representatividade da FDUSP no cenário internacional, o professor Otavio Pinto e Silva, Departamento de Direito do Trabalho, está no XX Encontro JUTRA ""O Trabalho e o seu Direito: Modernização ou Mutação?"", que ocorre até sábado (28/03), na cidade de Faro, Portugal."
Santos,Central do Maguire | Fan Account,@CentralMaguire,4 min,"O Douglas Santos é tão nota 6 que chega a irritar, ele não é ruim, mas está longe de ser bom, não tem cruzamento ou presença na área, não é um absurdo defensor, simplesmente mediano dms, assustador ter um cara desse como titular da seleção"
Vasco,Pires,@crvg_pires,4 min,Pararam meu Vasco para isso ?
Santos,@quendaprop,·,,Este Brasil sem o craque Alisson Santos nunca será nada
Santos,Alexsander Silva,@Alexsandercrvg,4 min,O Douglas Santos todo quadrado para fazer um arraste. Estou me acostumando a assistir o Cuiabano. Até me assustei com a falta de ginga para arrastar uma bola pela esquerda.
Corinthians,Dr Felipe De Lima Ferreira,@FelipeAndreol12,4 min,"TIME LIXO, SEM NEYMAR PARECE MEU CORINTHIANS, NEM COM 1 A MAIS FAZ GOL"
Flamengo,ᶜʳᶠ●𝓔𝓵𝓪𝓲𝓷𝓮 ●¹⁸⁹⁵,@NANNY_CRF1895,4 min,"O ""convocômetro"" cravou Léo Pereira. 
A Nação não decepciona nunca. #FLAMENGO #BRAXFRA"
Santos,Henrique Dutra,@henriquedutra01,4 min,Douglas Santos não é melhor que o Enzo diaz
Flamengo,KauaDuGrau,@KauaDuGrau018,4 min,É o juíz do Flamengo ???? Falta pros gente boa não dá nunk
Santos,reis,@crf_reix,4 min,"Andrey Santos tá jogando pra caralho, nossa, tá destruindo!"
Vasco,chute a gol,@chuteagol,4 min,"A gente viu nos jogos dele pelo Santos. Contra o VASCO tomou de 6 a 0. No Paulista conseguiu jogar SÓ 2 jogos e foi eliminado pelo Novorizontino. No brasileiro tá na beira do Z4. Mas ia arrebentar contra a França sim, confia."
Vasco,The BAD VASCAÍNO,@denysvasco,4 min,"Agora a partir da revenda da SAF vamos saber quanto milhões ou bilhões o Vasco vai arrecadar
Postagem esdrúxula sem cabimento e invejosa
Mas a verdade é que eles tremem"
Internacional,anittavﾒ𝟶,@anittavx_,4 min,"“Anitta não tem carreira internacional”

Hoje confirmada no SNL, o santo da diva é babado, né?"
Corinthians,dana,@gukqing,4 min,parece que to vendo o corinthians jogar e isso nao é um elogio
Internacional,el muchacho de los ojos tristes,@justiury,4 min,quando os  cara apanha aí existe direito internacional KKKKKKKKKKKKKKKKKKKKKKK
Flamengo,ela escreve tudo,@elaescrevetudo,4 min,"Avisa pro técnico dispensar esses jogadores e chamar todo time do 
@Flamengo
 pra essa copa! o único time q pode ganhar alguma coisa! #BRAxFRA"
